school_rbd,area_income_va,program_income_full_va,institution_income_va,math_va,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,program_income_full_component_math_va,program_income_full_component_institution_income_va,program_income_full_component_area_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
530,-0.0418941507597864,-0.0401229278641901,-0.0009970892636639,-0.200959260164361,140,140,140,137,TRUE,-0.024179791252381,0.0125415288070014,-0.0291096011045289,0.000624849043045446,-0.0401230145068631,0
531,0.0544059488036831,0.0637424718589109,0.0819552813720908,-0.0720666240445546,62,62,62,60,TRUE,-0.00855541513290278,0.0796348821095957,0.00492492967779955,-0.0122620114382545,0.0637423852162379,1.38777878078145e-17
532,0.0162645081891388,0.0234644597916273,0.0341454006491454,0.176367314634927,9,9,9,9,TRUE,0.0215597676705866,0.0192005945179985,-0.00846839088336458,-0.00882759815626612,0.0234643731489543,0
535,0.0103789305418754,0.0229155233424918,0.058173495460474,-0.0721510504729524,80,80,80,76,TRUE,-0.00856564931160703,0.0579133157035606,-0.0193403942801511,-0.00709183541198368,0.0229154366998188,0
565,0.0143543433910906,0.0203245709334322,0.0180726368353821,-0.145252488027288,226,226,226,222,TRUE,-0.0174270116796002,0.0262068638066768,0.0062670501047065,0.00527758205897608,0.0203244842907592,0
567,0.0785936236562594,0.0939436541882196,0.0650538168879696,0.0525969929743988,270,270,270,267,TRUE,0.00655631893783365,0.0557860562973387,0.030416362817175,0.0011848294931993,0.0939435675455466,0
568,-0.018009757134472,-0.0242564247117267,-0.0039682417460664,-0.064074913045905,156,156,156,156,TRUE,-0.00758665925793558,0.000595381915625929,-0.0112903512416908,-0.00597488277039919,-0.0242565113543997,-3.46944695195361e-18
570,0.0832405467194527,0.108381425002573,0.0466543643568509,0.0317756876953885,157,157,157,156,TRUE,0.00403235857228299,0.0403803641087951,0.0441797349647055,0.0197888807141164,0.1083813383599,0
573,0.0292801204737694,0.0297614883726968,0.0380289761596942,-0.0367900855992177,263,263,263,258,TRUE,-0.00427919019518906,0.0371243023806336,0.00568630256570849,-0.00877001302112923,0.0297614017300238,0
574,-0.0001387026591738,0.0027549833243003,-0.0151863636491795,-0.291724332978118,372,372,372,356,TRUE,-0.0351823409623255,0.00569940126785163,0.0149566610314283,0.017281175344673,0.00275489668162735,-1.73472347597681e-18
575,-0.0035466274716974,-0.0090339859615734,0.0376753567694863,-0.110142929600945,369,369,369,360,TRUE,-0.0131710280737402,0.0417482522104232,-0.0194323153894871,-0.0181789813514422,-0.00903407260424636,1.73472347597681e-18
578,-0.0321594406094308,-0.0335705898946114,-0.0294698246546013,-0.145380009625513,66,66,66,64,TRUE,-0.0174424698583915,-0.0172197698477548,-0.00792079509996562,0.00901235826882753,-0.0335706765372843,0
579,0.0845097743474219,0.0932233319788583,0.0869127605171306,-0.086766358600791,422,422,422,416,TRUE,-0.0103373181839789,0.0851554519864493,0.02766051761692,-0.00925540608320501,0.0932232453361854,0
580,0.105479273049836,0.12312848206225,0.0813384965685349,0.414953364023099,413,413,413,410,TRUE,0.050481188511388,0.0462260633899655,0.0352009876030546,-0.00877984408483104,0.123128395419577,0
581,-0.0397620914833003,-0.0391563359685265,-0.0225740493531493,0.0397001167003912,150,150,150,148,TRUE,0.00499295851835888,-0.0234017916481994,-0.0223953428320979,0.00164775335073895,-0.0391564226111995,0
582,0.0346914895621676,0.0352033237132744,0.0319963571437782,0.17010650349451,197,197,197,197,TRUE,0.0208008316210517,0.0176594464124866,0.00802629927813307,-0.01128334024107,0.0352032370706014,0
583,0.0109845257677756,0.010264582636379,0.0128314386265808,0.130681511063797,251,251,251,251,TRUE,0.0160217307446256,0.00280907643179084,-0.000799699903588747,-0.00776661127912166,0.010264495993706,0
